id,recipe_name,category,main_ingredient,rating,image_name,description,ingredients,image,cluster,cluster_numeric,predicted_cluster
53006,Moussaka,Beef,API,5.0,,"Heat the grill to high. Brown the beef in a deep ovenproof frying pan over a high heat for 5 mins. Meanwhile, prick the aubergine with a fork, then microwave on High for 3-5 mins until soft. Mix the yogurt, egg and parmesan together, then add a little seasoning.

Stir the tomatoes, purée and potatoes in with the beef with some seasoning and heat through. Smooth the surface of the beef mixture with the back of a spoon, then slice the cooked aubergine and arrange on top. Pour the yogurt mixture over the aubergines, smooth out evenly, then grill until the topping has set and turned golden.","500g Beef
1 large Aubergine
150g Greek Yogurt
1 beaten Egg
3 tbs Parmesan
400g Tomato
4 tbs Tomato Puree
350g Potatoes",https://www.themealdb.com/images/media/meals/ctg8jd1585563097.jpg,High,1,1
53069,Bistek,Beef,API,5.0,,"0.	Marinate beef in soy sauce, lemon (or calamansi), and ground black pepper for at least 1 hour. Note: marinate overnight for best result
1.	Heat the cooking oil in a pan then pan-fry half of the onions until the texture becomes soft. Set aside
2.	Drain the marinade from the beef. Set it aside. Pan-fry the beef on the same pan where the onions were fried for 1 minute per side. Remove from the pan. Set aside
3.	Add more oil if needed. Saute garlic and remaining raw onions until onion softens.
4.	Pour the remaining marinade and water. Bring to a boil.
5.	Add beef. Cover the pan and simmer until the meat is tender. Note: Add water as needed.
6.	Season with ground black pepper and salt as needed. Top with pan-fried onions.
7.	Transfer to a serving plate. Serve hot. Share and Enjoy!
","1 lb Beef
5 tablespoons Soy Sauce
1 Lemon
3 cloves Garlic
3 parts  Onion
4 tbs Olive Oil
1 cup  Water
1 pinch Salt",https://www.themealdb.com/images/media/meals/4pqimk1683207418.jpg,High,0,1
5,Rendang Padang,Asian,Daging,4.9,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
30,Chicken Satay,Asian,Ayam,4.9,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
37,Sashimi Tuna,Japanese,Ikan,4.9,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
49,Seafood Paella,Spanish,Seafood,4.9,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
45,Peking Duck,Asian,Ayam,4.9,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
42,Chocolate Cake,Vegan,Self-raising Flour,4.8,,Simply mix all dry ingredients with wet ingredients and blend altogether. Bake for 45 min on 180 degrees. Decorate with some melted vegan chocolate ,"1 1/4 cup Self-raising Flour
1/2 cup coco sugar
1/3 cup raw cacao
1 tsp baking powder
2 flax eggs
1/2 cup almond milk
1 tsp vanilla
1/2 cup boiling water",/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
17,Tiramisu,Dessert,Tepung,4.8,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
4,Sushi Roll,Japanese,Ikan,4.8,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
33,Cheesecake,Dessert,Butter,4.8,,"Position an oven shelf in the middle of the oven. Preheat the oven to fan 160C/conventional 180C/gas 4. Line the base of a 23cm springform cake tin with parchment paper. For the crust, melt the butter in a medium pan. Stir in the biscuit crumbs and sugar so the mixture is evenly moistened. Press the mixture into the bottom of the pan and bake for 10 minutes. Cool on a wire rack while preparing the filling.
For the filling, increase the oven temperature to fan 200C/conventional 240C/gas 9. In a table top mixer fitted with the paddle attachment, beat the soft cheese at medium-low speed until creamy, about 2 minutes. With the mixer on low, gradually add the sugar, then the flour and a pinch of salt, scraping down the sides of the bowl and the paddle twice.
Swap the paddle attachment for the whisk. Continue by adding the vanilla, lemon zest and juice. Whisk in the eggs and yolk, one at a time, scraping the bowl and whisk at least twice. Stir the 284ml carton of soured cream until smooth, then measure 200ml/7fl oz (just over 3⁄4 of the carton). Continue on low speed as you add the measured soured cream (reserve the rest). Whisk to blend, but don't over-beat. The batter should be smooth, light and somewhat airy.
Brush the sides of the springform tin with melted butter and put on a baking sheet. Pour in the filling - if there are any lumps, sink them using a knife - the top should be as smooth as possible. Bake for 10 minutes. Reduce oven temperature to fan 90C/conventional 110C/gas 1⁄4 and bake for 25 minutes more. If you gently shake the tin, the filling should have a slight wobble. Turn off the oven and open the oven door for a cheesecake that's creamy in the centre, or leave it closed if you prefer a drier texture. Let cool in the oven for 2 hours. The cheesecake may get a slight crack on top as it cools.
Combine the reserved soured cream with the 142ml carton, the sugar and lemon juice for the topping. Spread over the cheesecake right to the edges. Cover loosely with foil and refrigerate for at least 8 hours or overnight.
Run a round-bladed knife around the sides of the tin to loosen any stuck edges. Unlock the side, slide the cheesecake off the bottom of the tin onto a plate, then slide the parchment paper out from underneath.","85g Butter
140g Sour Cream
1tbsp Sugar
900g Cream Cheese
250g Caster Sugar
3 tbs Plain Flour
1 ½ teaspoons Lemon Juice
3 Large Eggs
250ml Sour Cream
150ml Sour Cream
1 tbsp Caster Sugar
2 tsp Lemon Juice",/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
50,Shrimp Tempura,Japanese,Seafood,4.8,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
46,Chicken Parmesan,Italian,Ayam,4.8,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
47,Beef Wellington,Beef,mushrooms,4.7,,"Put the mushrooms into a food processor with some seasoning and pulse to a rough paste. Scrape the paste into a pan and cook over a high heat for about 10 mins, tossing frequently, to cook out the moisture from the mushrooms. Spread out on a plate to cool.
Heat in a frying pan and add a little olive oil. Season the beef and sear in the hot pan for 30 secs only on each side. (You don't want to cook it at this stage, just colour it). Remove the beef from the pan and leave to cool, then brush all over with the mustard.
Lay a sheet of cling film on a work surface and arrange the Parma ham slices on it, in slightly overlapping rows. With a palette knife, spread the mushroom paste over the ham, then place the seared beef fillet in the middle. Keeping a tight hold of the cling film from the edge, neatly roll the Parma ham and mushrooms around the beef to form a tight barrel shape. Twist the ends of the cling film to secure. Chill for 15-20 mins to allow the beef to set and keep its shape.
Roll out the puff pastry on a floured surface to a large rectangle, the thickness of a £1 coin. Remove the cling film from the beef, then lay in the centre. Brush the surrounding pastry with egg yolk. Fold the ends over, the wrap the pastry around the beef, cutting off any excess. Turn over, so the seam is underneath, and place on a baking sheet. Brush over all the pastry with egg and chill for about 15 mins to let the pastry rest.
Heat the oven to 200C, 400F, gas 6.
Lightly score the pastry at 1cm intervals and glaze again with beaten egg yolk. Bake for 20 minutes, then lower the oven setting to 180C, 350F, gas 4 and cook for another 15 mins. Allow to rest for 10-15 mins before slicing and serving with the side dishes of your choice. The beef should still be pink in the centre when you serve it.","400g mushrooms
1-2tbsp English Mustard
Dash Olive Oil
750g piece Beef Fillet
6-8 slices Parma ham
500g Puff Pastry
Dusting Flour
2 Beaten  Egg Yolks",/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
34,Chocolate Muffin,Dessert,Tepung,4.7,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
40,Chicken Biryani,Asian,Ayam,4.7,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
16,Ramen Tonkotsu,Japanese,Mie,4.7,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
27,Tempura Ebi,Japanese,Ikan,4.7,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
20,Chicken Curry,Chicken,chicken breast,4.7,,"Prep:15min  ›  Cook:30min  ›  Ready in:45min 

For the curry sauce: Heat oil in medium non-stick saucepan, add onion and garlic and cook until softened. Stir in carrots and cook over low heat for 10 to 12 minutes.
Add flour and curry powder; cook for 1 minute. Gradually stir in stock until combined; add honey, soy sauce and bay leaf. Slowly bring to the boil.
Turn down heat and simmer for 20 minutes or until sauce thickens but is still of pouring consistency. Stir in garam masala. Pour the curry sauce through a sieve; return to saucepan and keep on low heat until ready to serve.
For the chicken: Season both sides of chicken breasts with salt and pepper. Place flour, egg and breadcrumbs in separate bowls and arrange in a row. Coat the chicken breasts in flour, then dip them into the egg, then coat in breadcrumbs, making sure you cover both sides.
Heat oil in large frying pan over medium-high heat. Place chicken into hot oil and cook until golden brown, about 3 or 4 minutes each side. Once cooked, place on kitchen paper to absorb excess oil.
Pour curry sauce over chicken, serve with white rice and enjoy!","4 pounded to 1cm thickness chicken breast
2 tablespoons plain flour
1 beaten egg
100g fine breadcrumbs
230ml frying vegetable oil
2 tablespoons sunflower oil
2 sliced onions
5 chopped cloves garlic
2 sliced carrot
2 tablespoons plain flour
4 teaspoons curry powder
600ml chicken stock
2 teaspoons honey
4 teaspoons soy sauce
1 bay leaf
1 teaspoon garam masala",/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
3,Pizza Margherita,Italian,Tepung,4.7,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
44,Gyoza,Japanese,Daging,4.7,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
31,Lo Mein,Beef,Beef,4.6,,"STEP 1 - MARINATING THE BEEF
In a bowl, add the beef, salt, 1 pinch white pepper, 1 Teaspoon sesame seed oil, 1/2 egg, corn starch,1 Tablespoon of oil and mix together.
STEP 2 - BOILING THE THE NOODLES
In a 6 qt pot add your noodles to boiling water until the noodles are submerged and boil on high heat for 10 seconds. After your noodles is done boiling strain and cool with cold water.
STEP 3 - STIR FRY
Add 2 Tablespoons of oil, beef and cook on high heat untill beef is medium cooked.
Set the cooked beef aside
In a wok add 2 Tablespoon of oil, onions, minced garlic, minced ginger, bean sprouts, mushrooms, peapods and 1.5 cups of water or until the vegetables are submerged in water.
Add the noodles to wok
To make the sauce, add oyster sauce, 1 pinch white pepper, 1 teaspoon sesame seed oil, sugar, and 1 Teaspoon of soy sauce.
Next add the beef to wok and stir-fry","1/2 lb Beef
pinch Salt
pinch Pepper
2 tsp Sesame Seed Oil
1/2  Egg
3 tbs Starch
5 tbs Oil
1/4 lb Noodles
1/2 cup  Onion
1 tsp  Minced Garlic
1 tsp  Ginger
1 cup  Bean Sprouts
1 cup  Mushrooms
1 cup  Water
1 tbs Oyster Sauce
1 tsp  Sugar
1 tsp  Soy Sauce",/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
36,Penne Arrabiata,Italian,Pasta,4.6,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
13,Pancake Coklat,Dessert,Tepung,4.6,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
21,Pad Thai,Asian,Mie,4.6,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
8,Sate Ayam,Asian,Ayam,4.6,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
1,Nasi Goreng,Asian,Nasi,4.5,nasi_goreng.png,"Panaskan sedikit minyak di wajan.
Pecahkan telur, masak sebentar, lalu aduk.
Masukkan nasi putih dan tambahkan kecap manis.
Aduk hingga rata dan hangat.","2 piring nasi putih (sebaiknya nasi dingin atau sisa semalam).
2 siung bawang putih (cincang halus).
1 butir telur.
2 sendok makan kecap manis.
1 sendok makan saus sambal (opsional, jika suka pedas).
Garam dan merica secukupnya.
Minyak untuk menumis.",/system-recipe-v2/assets/images/recipes/nasi_goreng.png,High,1,1
43,French Toast,Dessert,Tepung,4.5,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
25,Fried Rice Special,Asian,Nasi,4.5,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
14,Nasi Biryani,Asian,Nasi,4.5,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
48,Clam Chowder,Starter,Clams,4.5,,"Rinse the clams in several changes of cold water and drain well. Tip the clams into a large pan with 500ml of water. Cover, bring to the boil and simmer for 2 mins until the clams have just opened. Tip the contents of the pan into a colander over a bowl to catch the clam stock. When cool enough to handle, remove the clams from their shells – reserving a handful of empty shells for presentation if you want. Strain the clam stock into a jug, leaving any grit in the bottom of the bowl. You should have around 800ml stock.
Heat the butter in the same pan and sizzle the bacon for 3-4 mins until it starts to brown. Stir in the onion, thyme and bay and cook everything gently for 10 mins until the onion is soft and golden. Scatter over the flour and stir in to make a sandy paste, cook for 2 mins more, then gradually stir in the clam stock then the milk and the cream.
Throw in the potatoes, bring everything to a simmer and leave to bubble away gently for 10 mins or until the potatoes are cooked. Use a fork to crush a few of the potato chunks against the side of the pan to help thicken – you still want lots of defined chunks though. Stir through the clam meat and the few clam shells, if you've gone down that route, and simmer for a minute to reheat. Season with plenty of black pepper and a little salt, if needed, then stir through the parsley just before ladling into bowls or hollowed-out crusty rolls.","1½ kg Clams
50g Butter
150g Bacon
1 finely chopped  Onion
sprigs of fresh Thyme
1 Bay Leaf
1 tbls Plain Flour
150ml Milk
150ml Double Cream
2 medium Potatoes
Chopped Parsley",/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
24,Brownies,Dessert,Dark Chocolate,4.5,,"Heat oven to 180C/160C fan/gas 4. Line a 20 x 30cm baking tray tin with baking parchment. Put the chocolate, butter and sugar in a pan and gently melt, stirring occasionally with a wooden spoon. Remove from the heat.
Stir the eggs, one by one, into the melted chocolate mixture. Sieve over the flour and cocoa, and stir in. Stir in half the raspberries, scrape into the tray, then scatter over the remaining raspberries. Bake on the middle shelf for 30 mins or, if you prefer a firmer texture, for 5 mins more. Cool before slicing into squares. Store in an airtight container for up to 3 days.","200g Dark Chocolate
100g  Milk Chocolate
250g Salted Butter
400g Light Brown Soft Sugar
4 large Eggs
140g Plain Flour
50g Cocoa
200g Raspberries",/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
9,Mie Goreng Jawa,Asian,Mie,4.4,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
15,Lasagna Classic,Italian,Pasta,4.4,,,,/system-recipe-v2/assets/images/no_image_available.svg,High,1,1
